url,doc_id,title,audience,department,category,language,document_version,license_or_permission
https://myisb.isb.edu.vn/Images/News/files/TB%20xet%20Hoc%20bong%20BBus%20_2023-2024_Final(1).pdf,isb-bbus-kkht-notice-2023-2024,Thông báo xét học bổng KKHT năm học 2023-2024 (ISB - UEH),student,international-school-of-business,scholarship-announcement,vi,2023-2024,public-source
https://portal.yersin.edu.vn/uploads/Van_Ban_Lap_Quy_SV/Quy%20dinh%20xet%20cap%20hoc%20bong%20cho%20SV.pdf,yersin-scholarship-regulation,Quy định xét cấp học bổng cho sinh viên (ĐH Yersin Đà Lạt),student,student-affairs,scholarship-policy,vi,SV/QD-02-rev01,public-source
https://sao.hcmute.edu.vn/Resources/Docs/SubDomain/sao/Quy%20định%20hiện%20hành/_SO%20TAY%20SV%202024%20-%20phathanh_T11.pdf,hcmute-student-handbook-2024,Sổ tay sinh viên 2024 - mục học bổng và trợ cấp (HCMUTE),student,student-affairs,scholarship-policy,vi,2024,public-source
https://sao.hcmute.edu.vn/Resources/Docs/SubDomain/sao/Thông%20báo/2025-2026/HBKKHT%20HK1/z.TB%20xet%20HBKKHT%20HK1_25-26.pdf,hcmute-kkht-notice-hk1-2025-2026,Thông báo xét cấp HBKKHT học kỳ I năm học 2025-2026 (HCMUTE),student,student-affairs,scholarship-announcement,vi,3580/TB-DHSPKT-2025-10-09,public-source
https://sao.hcmute.edu.vn/Resources/Docs/SubDomain/sao/0.TB%20xet%20HBKKHT%20HK2_25-26.pdf,hcmute-kkht-notice-hk2-2025-2026,Thông báo xét cấp HBKKHT học kỳ II năm học 2025-2026 (HCMUTE),student,student-affairs,scholarship-announcement,vi,789/TB-DHCNKT-2026-03-16,public-source
https://ptithcm.edu.vn/sinh-vien/diem-moi-trong-chinh-sach-hoc-bong-khuyen-khich-hoc-tap-tu-nam-hoc-2021-2022.html,ptithcm-kkht-changes-2021-2022,Điểm mới trong chính sách học bổng KKHT từ năm học 2021-2022 (PTIT cơ sở TP.HCM),student,student-affairs,scholarship-policy,vi,2021-2022,public-source
https://ptithcm.edu.vn/tin-tuc/muc-hoc-bong-khuyen-khich-hoc-tap-cao-nhat-cua-hoc-vien-len-toi-20-3-trieu-dong-hoc-ky.html,ptithcm-kkht-results-2022-2023,Mức học bổng KKHT cao nhất lên tới 20,3 triệu đồng/học kỳ (PTIT),student,student-affairs,scholarship-announcement,vi,2022-2023,public-source
https://caselaw.vn/van-ban-phap-luat/346113-nghi-dinh-so-84-2020-nd-cp-ngay-17-07-2020-cua-chinh-phu-huong-dan-luat-giao-duc,decree-84-2020-education-law,Nghị định 84/2020/NĐ-CP hướng dẫn Luật Giáo dục (Điều 8 về học bổng KKHT),student,government,scholarship-legal-basis,vi,84/2020/ND-CP-2020-07-17,public-source
https://tuoitre.vn/3-truong-dai-hoc-bat-dau-nhan-ho-so-xet-tuyen-nam-2025-20250116100857543.htm,tuoitre-early-admission-scholarship-2025,3 trường đại học bắt đầu nhận hồ sơ xét tuyển học bổng năm 2025,applicant,admissions,scholarship-admission,vi,2025-01-16,third-party-news-check-permission
https://luatvietnam.vn/tin-phap-luat/hoc-bong-sinh-vien-hoc-sinh-230-28958-article.html,luatvietnam-scholarship-levels,Mức học bổng của học sinh sinh viên mới nhất,student,government,scholarship-amount,vi,not-stated,third-party-news-check-permission
https://husc.edu.vn/IMAGES/files/2026/69f8b6d7f3f34_hoc_bong_kkht_cua_nha_truong.pdf,husc-kkht-regulation,Quy định về học bổng khuyến khích học tập sinh viên hệ chính quy (ĐH Khoa học - ĐH Huế),student,student-affairs,scholarship-policy,vi,not-stated,public-source
https://docs.google.com/document/d/1BXM_NeegNGPIrxMP7_vZLybcjpTm_-qp/export?format=pdf,hufl-kkht-amount-2024-2025,Quyết định ban hành mức học bổng KKHT năm học 2024-2025 (ĐH Ngoại ngữ - ĐH Huế),student,student-affairs,scholarship-amount,vi,2596/QD-DHNN-2024-11-29,public-source
https://vku.udn.vn/wp-content/uploads/2025/12/1.-Thong-bao-xet-hoc-bong-KKHT-HKII-nam-hoc-2024-2025-TB.pdf,vku-kkht-notice-hk2-2024-2025,Thông báo xét cấp học bổng KKHT học kỳ 2 năm học 2024-2025 (ĐH CNTT và Truyền thông Việt - Hàn),student,student-affairs,scholarship-announcement,vi,1908/TB-DHVH-2025-12-02,public-source
https://ctsv.uit.edu.vn/sites/default/files/202109/61_tb-dk-hb-kkht-hk2-2020-2021_0.pdf,uit-kkht-registration-hk2-2020-2021,Thông báo đăng ký xét cấp học bổng KKHT học kỳ 2 năm học 2020-2021 (ĐH Công nghệ Thông tin - ĐHQG-HCM),student,student-affairs,scholarship-announcement,vi,61/TB-DHCNTT-2021-09-09,public-source
https://www.qui.edu.vn/uploads/news/2021_04/bm17.iii-cac-chinh-sach-h.dong-ho-tro-h.tap.pdf,qui-learning-support-policies,Các chính sách hỗ trợ học tập trong đó có học bổng KKHT (biểu mẫu công khai 17),student,student-affairs,scholarship-policy,vi,not-stated,public-source
https://tdtu.edu.vn/sites/www/files/Cong-khai-thong-tin/Chinh-sach-hoc-bong.pdf,tdtu-scholarship-policy,Chính sách học bổng (ĐH Tôn Đức Thắng),student,student-affairs,scholarship-policy,vi,not-stated,public-source
https://tdtu.edu.vn/sites/www/files/Cong-khai-thong-tin/update/Chinh-sach-hoc-bong.pdf,tdtu-scholarship-policy-updated,Chính sách học bổng bản cập nhật (ĐH Tôn Đức Thắng),applicant,admissions,scholarship-admission,vi,not-stated,public-source
https://www.rmit.edu.vn/vi/hoc-tap-tai-rmit/hoc-bong,rmit-vn-scholarship-overview,Tổng quan học bổng (RMIT Việt Nam),applicant,scholarships-office,scholarship-overview,vi,not-stated,public-source
https://www.rmit.edu.vn/vi/hoc-tap-tai-rmit/hoc-bong/hoc-bong-dai-hoc-cho-sinh-vien-tuong-lai,rmit-vn-undergrad-scholarships-2026,Học bổng đại học cho sinh viên tương lai 2026 (RMIT Việt Nam),applicant,scholarships-office,scholarship-admission,vi,2026,public-source
https://dsa.ctu.edu.vn/images/upload/vbanply/2025/HBKK/03_5523KHTH_22-10-2025.pdf,ctu-kkht-fund-allocation-hk1-2025-2026,Quyết định phân bổ quỹ học bổng KKHT học kỳ 1 năm học 2025-2026 (ĐH Cần Thơ),student,student-affairs,scholarship-fund,vi,5523/QD-DHCT-2025-10-16,public-source
https://dsa.ctu.edu.vn/images/upload/vbanply/2025/HBKK/2080_02-6-2025_qdcthb243signedsignedsignedsigned.pdf,ctu-kkht-fund-allocation-hk3-2024-2025,Quyết định phân bổ quỹ học bổng KKHT học kỳ 3 năm học 2024-2025 (ĐH Cần Thơ),student,student-affairs,scholarship-fund,vi,2025-06-02,public-source
https://cse.ctu.edu.vn/images/upload/sinhvien/chinhquy/2025/05-11-2025-QD-HB-251_K51.pdf,ctu-kkht-k51-hk1-2025-2026,Quyết định cấp học bổng KKHT học kỳ 1 năm học 2025-2026 cho sinh viên khóa 51 (ĐH Cần Thơ),student,student-affairs,scholarship-amount,vi,2025-11-05,public-source
https://cse.ctu.edu.vn/images/upload/sinhvien/chinhquy/2025/07-10-2025-TB-hoc-bong-Nguyen-Truong-To_2025.pdf,ctu-nguyen-truong-to-scholarship-2025,Thông báo xét cấp học bổng Nguyễn Trường Tộ - VNHELP 2025 (ĐH Cần Thơ),student,student-affairs,scholarship-sponsored,vi,374/TB-CTSV-2025-10-07,public-source
https://myisb.isb.edu.vn/Images/News/files/TB%20xet%20Hoc%20bong%20BBus%20_2019.pdf,isb-bbus-kkht-conditions-2018-2019,Thông báo điều kiện xét học bổng KKHT Chương trình cử nhân tài năng năm học 2018-2019 (ISB - UEH),student,international-school-of-business,scholarship-announcement,vi,2019-07-01,public-source
https://myisb.isb.edu.vn/Images/News/files/TB%20xet%20Hoc%20bong%20BBus%20_2020-2021-%20Danh%20sach%20so%20bo(1).pdf,isb-bbus-kkht-notice-2020-2021,Thông báo xét học bổng KKHT Chương trình cử nhân tài năng năm học 2020-2021 (ISB - UEH),student,international-school-of-business,scholarship-announcement,vi,2020-2021,public-source
https://tuoitre.vn/dai-hoc-kinh-te-tphcm-mo-rong-hoc-bong-tang-co-hoi-xuat-ngoai-cho-sinh-vien-20260320191254681.htm,ueh-exchange-scholarships-2026-2027,UEH mở rộng học bổng trao đổi quốc tế giai đoạn 2026-2027,student,international-affairs,scholarship-exchange,vi,2026-03-20,third-party-news-check-permission
https://znews.vn/bot-noi-lo-hoc-phi-voi-chinh-sach-hoc-bong-mua-dich-tu-uef-post1116739.html,uef-admission-scholarship-news,Chính sách học bổng tuyển sinh của UEF (bài báo),applicant,admissions,scholarship-admission,vi,not-stated,third-party-news-check-permission
https://daibieunhandan.vn/dai-hoc-da-nang-vinh-danh-thu-khoa-va-trao-hoc-bong-nang-buoc-sinh-vien-nam-2025-10393397.html,udn-nang-buoc-scholarship-2025,Đại học Đà Nẵng vinh danh thủ khoa và trao học bổng Nâng bước sinh viên 2025,student,student-affairs,scholarship-announcement,vi,2025,third-party-news-check-permission
https://thuvienphapluat.vn/hoi-dap-phap-luat/mau-don-de-nghi-cap-hoc-bong-chinh-sach-moi-nhat-2026-la-mau-nao-138083101.html,policy-scholarship-application-form-2026,Mẫu đơn đề nghị cấp học bổng chính sách mới nhất 2026,student,government,scholarship-legal-basis,vi,2026,third-party-news-check-permission
https://lsvn.vn/sinh-vien-hoc-tai-chuc-co-the-duoc-cap-hoc-bong-nhu-hoc-chinh-quy-a148479.html,lsvn-kkht-decree-84-amendment-draft,Đề xuất sửa Nghị định 84/2020 về học bổng KKHT cho sinh viên vừa học vừa làm,student,government,scholarship-legal-basis,vi,2024-10-17,third-party-news-check-permission
https://fme.hcmut.edu.vn/wp-content/uploads/2025/09/2025.09.05_143.DHBK_.DT_Hoc-bong-sau-dai-hoc-cua-DHQG-HCM-nam-2025.pdf,hcmut-vnuhcm-postgrad-scholarship-2025,Thông báo học bổng sau đại học của ĐHQG-HCM năm 2025 (ĐH Bách khoa - ĐHQG-HCM),postgraduate,academic-affairs,scholarship-postgraduate,vi,143/DHBK-DT-2025-08-29,public-source
https://law.vnu.edu.vn/chuong-trinh-hoc-bong-dong-hanh-vingroup-dhqghn-nam-hoc-2024-2025/?print=pdf,ulaw-vingroup-vnu-scholarship-2024-2025,Chương trình học bổng Đồng hành Vingroup-ĐHQGHN năm học 2024-2025 (ĐH Luật - ĐHQGHN),student,student-affairs,scholarship-sponsored,vi,2024-2025,public-source
https://www.hoasen.edu.vn/wp-content/uploads/2022/01/tb_758_xet_hb_khuyen_hoc_vuot_kho_13_2a.pdf,hoasen-study-promotion-scholarship-2013-2014,Thông báo xét học bổng Khuyến học và Vượt khó năm học 2013-2014 (ĐH Hoa Sen),student,student-support,scholarship-announcement,vi,758/TB-DHHS-2014-07-22,public-source
https://dsa.ctu.edu.vn/images/upload/vbanply/2025/HBKK/03_6194KHTH_10-11-2025.pdf,ctu-kkht-priority-admission-hk1-2025-2026,Quyết định cấp học bổng KKHT cho sinh viên tuyển thẳng và ưu tiên xét tuyển học kỳ 1 năm học 2025-2026 (ĐH Cần Thơ),student,student-affairs,scholarship-amount,vi,2025-11-10,public-source
https://dsa.ctu.edu.vn/images/upload/vbanply/2025/HBKK/4794_29-9-2025_qdcthb251_k47signedsignedsignedsigned.pdf,ctu-kkht-fund-allocation-k47-2025-2026,Quyết định phân bổ quỹ học bổng KKHT khóa 47 từ học kỳ 1 năm học 2025-2026 (ĐH Cần Thơ),student,student-affairs,scholarship-fund,vi,2025-09-29,public-source
https://hvnh.edu.vn/medias/qlnh/vi/10.2021/system/archivedate/bb5ff579_Nghị%20định%2084-%20HBKKHT%20mới%20năm%202021.pdf,hvnh-decree-84-kkht-summary,Nghị định 84/2020/NĐ-CP - Học bổng khuyến khích học tập (bản đăng trên website Học viện Ngân hàng),student,student-affairs,scholarship-legal-basis,vi,84/2020/ND-CP-2021-copy,public-source
https://www.rmit.edu.vn/vi/tin-tuc/tat-ca-tin-tuc/2024/oct/rmit-viet-nam-ton-vinh-tac-dong-ma-truong-kien-tao-qua-chuong-trinh-hoc-bong,rmit-vn-scholarship-results-2024,RMIT Việt Nam tôn vinh tác động qua chương trình học bổng 2024,applicant,scholarships-office,scholarship-announcement,vi,2024-10,public-source
https://znews.vn/hoc-bong-tien-ty-cho-thu-khoa-a-khoa-dai-hoc-nam-nay-post1632747.html,znews-top-scorer-scholarships-2026,Học bổng tiền tỷ cho thủ khoa á khoa đại học năm 2026,applicant,admissions,scholarship-admission,vi,2026,third-party-news-check-permission
https://fptshop.com.vn/tin-tuc/danh-gia/hoc-phi-dai-hoc-van-hien-2025-177574,fptshop-van-hien-tuition-scholarship-2025,Học phí và chính sách học bổng Đại học Văn Hiến 2025 (bài tổng hợp),applicant,admissions,scholarship-admission,vi,2025,third-party-news-check-permission
https://fptshop.com.vn/tin-tuc/danh-gia/hoc-vien-tai-chinh-2025-187581,fptshop-aof-tuition-scholarship-2025,Học phí và chính sách học bổng Học viện Tài chính 2025 (bài tổng hợp),applicant,admissions,scholarship-admission,vi,2025,third-party-news-check-permission
